"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3302403";"Macaé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"82916";"70057";"8436";"433";"2168";"1302";"25";"192";"303"
"MU";"3302403";"Macaé (RJ)";"Canalizada, mas apenas no terreno";"6601";"5249";"979";"32";"34";"102";"2";"16";"187"
"MU";"3302403";"Macaé (RJ)";"Sem água canalizada";"3199";"-";"2180";"31";"10";"356";"8";"4";"610"
"MU";"3302452";"Macuco (RJ)";"Total";"1940";"1757";"67";"4";"109";"-";"-";"-";"3"
"MU";"3302452";"Macuco (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"1938";"1757";"67";"4";"108";"-";"-";"-";"2"
"MU";"3302452";"Macuco (RJ)";"Canalizada, mas apenas no terreno";"1";"-";"-";"-";"1";"-";"-";"-";"-"
"MU";"3302452";"Macuco (RJ)";"Sem água canalizada";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3302502";"Magé (RJ)";"Total";"82906";"25455";"46603";"3024";"5227";"279";"149";"1052";"1117"
"MU";"3302502";"Magé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"75964";"23168";"42815";"2717";"5113";"185";"81";"990";"895"
"MU";"3302502";"Magé (RJ)";"Canalizada, mas apenas no terreno";"4046";"2287";"1395";"162";"52";"38";"30";"28";"54"
"MU";"3302502";"Magé (RJ)";"Sem água canalizada";"2896";"-";"2393";"145";"62";"56";"38";"34";"168"
"MU";"3302601";"Mangaratiba (RJ)";"Total";"15765";"8052";"732";"43";"5672";"4";"6";"1167";"89"
"MU";"3302601";"Mangaratiba (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"15613";"8005";"711";"42";"5623";"4";"5";"1164";"59"
"MU";"3302601";"Mangaratiba (RJ)";"Canalizada, mas apenas no terreno";"98";"47";"8";"1";"36";"-";"1";"2";"3"
"MU";"3302601";"Mangaratiba (RJ)";"Sem água canalizada";"54";"-";"13";"-";"13";"-";"-";"1";"27"
"MU";"3302700";"Maricá (RJ)";"Total";"73454";"25870";"40661";"2987";"364";"2736";"385";"60";"391"
"MU";"3302700";"Maricá (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"68374";"25398";"37270";"2507";"335";"2263";"275";"53";"273"
"MU";"3302700";"Maricá (RJ)";"Canalizada, mas apenas no terreno";"2167";"472";"1491";"71";"3";"93";"18";"5";"14"
"MU";"3302700";"Maricá (RJ)";"Sem água canalizada";"2913";"-";"1900";"409";"26";"380";"92";"2";"104"
"MU";"3302809";"Mendes (RJ)";"Total";"6917";"4937";"602";"837";"403";"126";"2";"3";"7"
"MU";"3302809";"Mendes (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"6792";"4917";"564";"784";"392";"123";"2";"3";"7"
"MU";"3302809";"Mendes (RJ)";"Canalizada, mas apenas no terreno";"35";"20";"5";"9";"1";"-";"-";"-";"-"
"MU";"3302809";"Mendes (RJ)";"Sem água canalizada";"90";"-";"33";"44";"10";"3";"-";"-";"-"
"MU";"3302858";"Mesquita (RJ)";"Total";"62611";"57006";"3314";"171";"971";"140";"42";"54";"913"
"MU";"3302858";"Mesquita (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"57543";"53953";"2343";"90";"831";"68";"18";"16";"224"
"MU";"3302858";"Mesquita (RJ)";"Canalizada, mas apenas no terreno";"3570";"3053";"323";"30";"52";"15";"13";"14";"70"
"MU";"3302858";"Mesquita (RJ)";"Sem água canalizada";"1498";"-";"648";"51";"88";"57";"11";"24";"619"
"MU";"3302908";"Miguel Pereira (RJ)";"Total";"10250";"7193";"1314";"860";"815";"2";"-";"62";"4"
"MU";"3302908";"Miguel Pereira (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"10204";"7187";"1306";"847";"803";"2";"-";"59";"-"
"MU";"3302908";"Miguel Pereira (RJ)";"Canalizada, mas apenas no terreno";"27";"6";"4";"6";"9";"-";"-";"1";"1"
"MU";"3302908";"Miguel Pereira (RJ)";"Sem água canalizada";"19";"-";"4";"7";"3";"-";"-";"2";"3"
"MU";"3303005";"Miracema (RJ)";"Total";"9601";"8434";"869";"98";"182";"-";"-";"-";"18"
"MU";"3303005";"Miracema (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"9544";"8431";"837";"92";"180";"-";"-";"-";"4"
"MU";"3303005";"Miracema (RJ)";"Canalizada, mas apenas no terreno";"32";"3";"20";"4";"1";"-";"-";"-";"4"
"MU";"3303005";"Miracema (RJ)";"Sem água canalizada";"25";"-";"12";"2";"1";"-";"-";"-";"10"
"MU";"3303104";"Natividade (RJ)";"Total";"5691";"4647";"569";"39";"375";"9";"2";"42";"8"
"MU";"3303104";"Natividade (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"5679";"4644";"565";"39";"373";"9";"2";"42";"5"
"MU";"3303104";"Natividade (RJ)";"Canalizada, mas apenas no terreno";"7";"3";"2";"-";"2";"-";"-";"-";"-"
"MU";"3303104";"Natividade (RJ)";"Sem água canalizada";"5";"-";"2";"-";"-";"-";"-";"-";"3"
